X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,-1.58E-04,1.00E-06
0,-9.60E-02,-1.04E+00,,
1,-9.80E-02,-1.00E+00,,
2,-9.80E-02,-1.04E+00,,
3,-9.60E-02,-1.00E+00,,
4,-9.60E-02,-1.00E+00,,
5,-9.80E-02,-1.04E+00,,
6,-9.60E-02,-1.04E+00,,
7,-1.00E-01,-1.00E+00,,
8,-9.60E-02,-1.00E+00,,
9,-1.00E-01,-1.04E+00,,
10,-9.60E-02,-1.04E+00,,
11,-9.80E-02,-1.00E+00,,
12,-9.80E-02,-1.04E+00,,
13,-9.60E-02,-1.00E+00,,
14,-9.60E-02,-1.04E+00,,
15,-1.00E-01,-1.00E+00,,
16,-9.60E-02,-1.04E+00,,
17,-1.00E-01,-1.00E+00,,
18,-9.60E-02,-1.00E+00,,
19,-1.00E-01,-1.04E+00,,
20,-9.80E-02,-1.04E+00,,
21,-9.60E-02,-1.00E+00,,
22,-9.60E-02,-1.04E+00,,
23,-9.80E-02,-1.04E+00,,
24,-9.80E-02,-1.04E+00,,
25,-9.60E-02,-1.00E+00,,
26,-9.60E-02,-1.04E+00,,
27,-1.00E-01,-1.04E+00,,
28,-9.60E-02,-1.04E+00,,
29,-1.00E-01,-1.00E+00,,
30,-9.60E-02,-1.04E+00,,
31,-9.80E-02,-1.00E+00,,
32,-9.60E-02,-1.04E+00,,
33,-9.80E-02,-1.00E+00,,
34,-9.60E-02,-1.00E+00,,
35,-9.80E-02,-1.04E+00,,
36,-9.60E-02,-1.04E+00,,
37,-9.80E-02,-1.00E+00,,
38,-9.60E-02,-1.04E+00,,
39,-1.00E-01,-1.00E+00,,
40,-1.00E-01,-1.04E+00,,
41,-9.60E-02,-1.00E+00,,
42,-9.80E-02,-1.00E+00,,
43,-9.60E-02,-1.04E+00,,
44,-9.60E-02,-1.04E+00,,
45,-9.80E-02,-1.00E+00,,
46,-9.60E-02,-1.04E+00,,
47,-1.00E-01,-1.00E+00,,
48,-9.60E-02,-1.04E+00,,
49,-1.00E-01,-1.00E+00,,
50,-1.00E-01,-1.04E+00,,
51,-9.60E-02,-1.00E+00,,
52,-9.60E-02,-1.00E+00,,
53,-9.80E-02,-1.04E+00,,
54,-9.60E-02,-1.04E+00,,
55,-9.80E-02,-1.00E+00,,
56,-9.80E-02,-1.00E+00,,
57,-9.60E-02,-1.04E+00,,
58,-9.80E-02,-1.00E+00,,
59,-9.60E-02,-1.04E+00,,
60,-1.00E-01,-1.04E+00,,
61,-9.60E-02,-1.00E+00,,
62,-9.80E-02,-1.04E+00,,
63,-9.60E-02,-1.04E+00,,
